Name,SMILES,Score
NCGC00464548-01,COc1ccc(cc1)C(=O)N2C[C@H](C[C@H]2C(=O)N3CCCC3)Oc4ccccc4,-15.967
NCGC00441543-01,c1ccc(cc1)n2cc(nn2)C[NH+]3CCC4(CC3)c5ccccc5C[C@@H]4O,-15.9666
NCGC00377404-01,Cc1ccc(cc1C)C[N@@H+]2CCCC[C@]23Cc4ccccc4CNC3=O,-15.9615
NCGC00393666-01,c1ccc2c(c1)N(C(=O)[C@@H]3C[C@H](O2)C[N@H+]3Cc4ccc5c(c4)OCO5)CC6CC6,-15.9488
NCGC00471204-01,c1ccc2c(c1)CC[N@H+](C2)Cc3ccc4c(c3)CN(CCO4)C(=O)c5cc(ccc5F)F,-15.9464
NCGC00440512-01,Cc1ccc(cc1C)C(=O)N2CCC3(CC2)c4ccccc4N(C3=O)C,-15.9452
NCGC00480026-01,COc1ccc(cc1)CC(=O)N2CCCC[C@@]23Cc4ccccc4NC3=O,-15.9439
NCGC00428420-01,c1cc(cc(c1)F)CC[C@@H]2CCCN(C2)C(=O)CCc3cccnc3,-15.9427
NCGC00433510-01,Cc1ccc(c(c1)[S@+](=O)([N@@]2CCC[C@@H](C2)Cn3c4c(cccn4)nc3C5CC5)[O-])C,-15.9377
NCGC00438933-01,Cc1ccc2c(c(oc2c1)C(=O)N3CC[C@@]4(C3)CCCN(C4=O)CCOC)C,-15.9352
NCGC00464569-01,c1ccc(cc1)O[C@H]2C[C@H](N(C2)C(=O)c3ccncc3)C(=O)N4CCCC4,-15.9331
NCGC00413089-01,c1ccc(cc1)c2ccccc2N3CC4(C3)CN(C(=O)O4)CC5CCOCC5,-15.9262
NCGC00478869-01,c1ccc(cc1)CCN2c3ccccc3[C@@]4(C2=O)CCN(C4)C(=O)Cc5ccc(cc5)F,-15.9185
NCGC00411368-01,Cc1c2c(c(cc(n2)c3cccc(c3)C(F)(F)F)c4c[nH]nc4)on1,-15.9169
NCGC00394085-01,COc1ccc2c(c1)CN(CC[C@@H]3N2C(=O)OC3)C(=O)c4ccc(cc4)C(F)(F)F,-15.9126
NCGC00429708-01,Cn1cc(cc1C(=O)N2CCN(CC2)c3ccc(cc3)F)c4ccncc4,-15.9002
NCGC00464732-01,c1ccc2c(c1)ccc(n2)C(=O)N3C[C@H](C[C@H]3C(=O)N4CCCC4)Oc5cccnc5,-15.8994
NCGC00448327-01,COc1ccc(cc1)CCC(=O)Nc2cccc(c2)c3nnc4n3CCCC4,-15.8963
NCGC00460525-01,c1cc(ccc1c2cc([nH]n2)C(=O)N3CC[C@@H]([C@@H](C3)NC(=O)C4CC4)CO)F,-15.8885
NCGC00469705-01,Cc1ccc(o1)C[N@H+]2CCC[C@H](C2)Cc3[nH+]cc(n3Cc4ccccc4)C,-15.8851
NCGC00426219-01,c1ccc2c(c1)CC(C2)[NH+]3CCC(CC3)Oc4ccccc4C(=O)N5CCCCC5,-15.885
NCGC00472491-01,CC(C)N1[C@H](C2(C1=O)CCCCC2)C(=O)N3CCN(CC3)c4ccccc4F,-15.8821
NCGC00458932-01,c1ccc(cc1)C[S@@+](=O)([N@]2C[C@H](C[C@@H]2C(=O)N3CCOCC3)Oc4ccccc4)[O-],-15.8806
NCGC00452055-01,c1ccc(cc1)C2=NC3(CCCC3)N(C2=O)CC(=O)Nc4ccc(cc4)C(F)(F)F,-15.8756
NCGC00474020-01,Cc1cccc2c1[nH]cc2C3CCN(CC3)[S@@+](=O)(c4cc(ccc4OC)Cl)[O-],-15.8747
NCGC00433452-01,c1cc(c(c(c1)F)CC[C@@H]2CCCN(C2)C(=O)CCCc3c[nH]nc3)F,-15.8731
NCGC00478881-01,COc1ccc(cc1)C(=O)N2CCCC[C@@]23Cc4ccccc4NC3=O,-15.8596
NCGC00478602-01,Cc1ccccc1C(=O)N(C)Cc2ccc(cc2)c3ccccc3,-15.855
NCGC00451127-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccc(cc4)F,-15.8539
NCGC00451596-01,c1cc(cc(c1)Cl)N2CCN(CC2)C(=O)C[C@@H]3CCCN(C3)c4cc(=O)[nH]nc4,-15.8523
NCGC00430700-01,CC1CCN(CC1)C(=O)c2csc(n2)N3CCN(CC3)c4ccc(cc4)Cl,-15.8491
NCGC00376414-01,c1ccc2c(c1)OC[C@@]3(CCC[N@@H+](C3)Cc4c(cccc4F)F)N[S@+]2(=O)[O-],-15.8456
NCGC00373771-01,c1ccc(cc1)C(=O)N2CC[C@]3(C2)c4ccccc4N(C3=O)c5ccccc5,-15.8376
NCGC00461871-01,COC[C@H]1C[N@@](CC12CC[NH2+]CC2)[S@@+](=O)(c3ccc4c(c3)CCCC4)[O-],-15.8196
NCGC00428666-01,CC1(CC(=O)C=C(O1)C(=O)N2CCC[C@H](C2)[NH+]3CCN(CC3)c4ccccc4F)C,-15.8194
NCGC00394079-01,COc1ccc2c(c1)CN(CC[C@@H]3N2C(=O)OC3)C(=O)COCc4ccccc4,-15.8182
NCGC00410042-01,c1cc(ccc1CN2[C@H]3CC[N@@H+](CC[C@@H]3OCC2=O)Cc4ccc5c(c4)cc[nH]5)O,-15.8114
NCGC00425708-01,C=CC[NH+](CC=C)Cc1c(nc2n1cccc2)C(=O)N3CC[NH+](CC3)C4CCCCC4,-15.8094
NCGC00428912-01,Cn1ccnc1CN(C)C(=O)c2csc3n2cc([nH+]3)c4ccc(cc4)C(F)(F)F,-15.8061
NCGC00451142-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4ccccc4OC,-15.8036
NCGC00434507-01,c1ccc(cc1)c2nn(c(=O)n2c3ccccc3)CC(=O)N4C[C@@H]5C[C@H]4C[NH2+]5,-15.801
NCGC00478861-01,c1ccc(cc1)CCN2c3ccccc3[C@]4(C2=O)CCN(C4)C(=O)c5ccc(cc5)C(F)(F)F,-15.8004
NCGC00460195-01,COCCn1c2cccnc2n(c1=O)[C@H]3CCCN(C3)C(=O)Cc4cccc(c4)F,-15.7976
NCGC00443155-01,CN(Cc1csc(n1)c2ccccc2)C(=O)c3ccc4nccn4c3,-15.7898
NCGC00469388-01,CCc1ccc(cc1)C(=O)N2CCC(CC2)N3[C@H](CCC3=O)C(=O)N,-15.7854
NCGC00376064-01,c1ccc2c(c1)CC3(CC[NH+](CC3)C4CCCCC4)CN2C(=O)c5ccc(cc5)Cl,-15.7838
NCGC00427222-01,c1ccc(c(c1)C(=O)N2CCOCC2)OC[C@@H]3CCC[N@@H+](C3)C4CCCCCC4,-15.7771
NCGC00373715-01,c1cc(cc(c1)[S@+](=O)(N2CC(C2)Oc3ccc(cc3F)F)[O-])C(F)(F)F,-15.775
NCGC00444501-01,CCC[N@@H+]1CCc2c(nc[nH]2)C13CCN(CC3)C(=O)[C@H]4Cc5ccccc5C[NH2+]4,-15.7715
NCGC00373808-01,c1ccc(cc1)N2c3ccccc3[C@]4(C2=O)CCN(C4)C(=O)c5ccccc5F,-15.7707
NCGC00427200-01,c1ccc(c(c1)C(=O)N2CCCCC2)OC[C@@H]3CCC[N@@H+](C3)C4CCCCC4,-15.7689
NCGC00463714-01,CCN1C(=O)[C@@H]2CC3(CC[NH+](CC3)Cc4c[nH]nc4c5ccc(cc5)F)CN2C1=O,-15.7676
NCGC00409056-01,c1ccc(cc1)Oc2ccccc2c3c4c([nH]n3)CN(C(=O)C4)Cc5ccccc5F,-15.7597
NCGC00377388-01,COc1cc(ccc1F)C[N@@H+]2CCCC[C@]23Cc4ccccc4CNC3=O,-15.7553
NCGC00393770-01,c1ccc(cc1)CN2c3ccccc3O[C@H]4C[C@@H](C2=O)[N@@H+](C4)Cc5cc6ccccc6nc5,-15.7543
NCGC00464411-01,Cc1cccc(c1)C(=O)N2C[C@H](C[C@H]2C(=O)N3CCOCC3)Oc4ccccc4,-15.7307
NCGC00477038-01,c1ccc(cc1)COC(=O)N2CCC3(CC2)C(=NNC3=O)c4cccnc4,-15.7295
NCGC00480637-01,COc1cc(nc2c1cccc2)C(=O)N3CCC(CC3)n4c5ccccc5[nH]c4=O,-15.728
NCGC00451123-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4cccc(c4)Cl,-15.7141
NCGC00434967-01,COc1ccccc1[C@@H]2CN(C[C@H]2C(=O)[O-])C(=O)c3ccc4cccnc4c3,-15.6992
NCGC00471483-01,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)[C@@H]3CCc4[nH+]cc(n4C3)c5ccc(cc5)F,-15.6947
NCGC00410355-01,CC(=O)N[C@]1(CC[N@H+](C1)Cc2cccc(c2)c3ccc4ccccc4c3)C,-15.686
NCGC00480642-01,c1ccc2c(c1)[nH]c(=O)n2C3CCN(CC3)C(=O)c4cc(ccc4Br)F,-15.6809
NCGC00375317-01,c1ccc(cc1)N2c3ccccc3[C@]4(C2=O)CCN(C4)C(=O)c5ccc(cc5)Cl,-15.6775
NCGC00424972-01,Cn1c2ccc(cc2nc1CNC(=O)c3ccc4nccn4c3)C(F)(F)F,-15.6696
NCGC00434262-01,Cc1ccccc1CC(=O)N2CC[C@@H](C2)Oc3c(cccn3)C(=O)N4CCCCC4,-15.6626
NCGC00394907-01,Cc1ccc(cc1)[S@+](=O)([N@@]2CC[C@@H](C2)c3nnc(o3)c4ccccc4)[O-],-15.6619
NCGC00410962-01,CN(c1ccccc1)c2ccc3nnc(n3n2)c4cc(ccn4)C(=O)N5CC(C5)O,-15.6604
NCGC00377456-01,CC(C)C(=O)N1Cc2ccccc2C[C@]3(C1)CCC[N@H+](C3)CC4CCCCC4,-15.6582
NCGC00478875-01,Cc1ccc(cc1)C(=O)N2CC[C@]3(C2)c4ccccc4N(C3=O)CCc5ccccc5,-15.6574
NCGC00471218-01,c1ccc2c(c1)CC[N@H+](C2)Cc3ccc4c(c3)CN(CCO4)C(=O)C5CCCC5,-15.6527
NCGC00373773-01,COc1ccc(cc1)C[N@@H+]2CC[C@]3(C2)c4ccccc4N(C3=O)c5ccccc5,-15.6489
NCGC00377469-01,CC(=O)N1Cc2ccccc2C[C@]3(C1)CCC[N@H+](C3)CCc4ccccc4,-15.6466
NCGC00451159-01,COc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4cc(ccc4F)Cl,-15.6444
NCGC00377508-01,CCCC(=O)N1Cc2ccccc2C[C@]3(C1)CCC[N@H+](C3)Cc4ccccc4,-15.6438
NCGC00438223-01,CCCN1[C@@H]2CCN(C[C@@H]2CCC1=O)C(=O)c3ccc4c(c3)ccs4,-15.6412
NCGC00434153-01,Cc1ccc(cc1C)C(=O)N2CCC3(CC2)c4c([nH]cn4)CCN3C(=O)C,-15.6215
NCGC00437297-01,Cc1nc2cc(ccc2s1)C(=O)N3CCC4(CC3)c5c([nH]cn5)CC[N@H+]4C,-15.6201
NCGC00398081-01,c1cc(ccc1c2ccc(=O)n3c2[C@@H]4C[C@H](C3)CN(C4)C(=O)C5CCCCC5)Cl,-15.6082
